# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_volume
544 0.58947 -5.69463 140.608
545 0.585856 -5.68993 140.608
546 0.582209 -5.68717 140.608
547 0.578761 -5.68417 140.608
548 0.575658 -5.68121 140.608
549 0.572942 -5.67774 140.608
550 0.570552 -5.67506 140.608
551 0.568362 -5.67273 140.608
552 0.566219 -5.67135 140.608
553 0.563969 -5.66896 140.608
554 0.561496 -5.66664 140.608
555 0.558725 -5.66371 140.608
556 0.555641 -5.66123 140.608
557 0.552278 -5.65801 140.608
558 0.548708 -5.65397 140.608
559 0.545025 -5.64968 140.608
560 0.541343 -5.64614 140.608
561 0.53778 -5.64272 140.608
562 0.534454 -5.6403 140.608
563 0.531476 -5.63731 140.608
564 0.528949 -5.63539 140.608
565 0.526983 -5.63417 140.608
566 0.525686 -5.63317 140.608
567 0.525184 -5.6319 140.608
568 0.525587 -5.63185 140.608
569 0.526956 -5.63382 140.608
570 0.52928 -5.6366 140.608
571 0.532428 -5.63977 140.608
572 0.53616 -5.64398 140.608
573 0.540134 -5.64798 140.608
574 0.543946 -5.65227 140.608
575 0.547215 -5.65541 140.608
576 0.549648 -5.65815 140.608
577 0.551085 -5.65959 140.608
578 0.551505 -5.66016 140.608
579 0.550983 -5.65948 140.608
580 0.54964 -5.65767 140.608
581 0.547594 -5.65593 140.608
582 0.544949 -5.65358 140.608
583 0.541833 -5.65 140.608
584 0.538457 -5.64691 140.608
585 0.535148 -5.64372 140.608
586 0.532335 -5.64012 140.608
587 0.530494 -5.63841 140.608
588 0.530046 -5.63794 140.608
589 0.531283 -5.63917 140.608
590 0.534321 -5.64267 140.608
591 0.53907 -5.64743 140.608
592 0.545264 -5.6535 140.608
593 0.55251 -5.66107 140.608
594 0.56035 -5.66848 140.608
595 0.568343 -5.67665 140.608
596 0.576141 -5.6843 140.608
597 0.583533 -5.692 140.608
598 0.59044 -5.6989 140.608
599 0.596881 -5.70549 140.608
600 0.60293 -5.71138 140.608
